Date,Open,High,Low,Close,Volume,Stock_Code
5/31/2017 16:00:00,67.5,67.9,67.5,67.7,15095202,0005.HK
6/1/2017 16:00:00,67.9,68.15,67.75,67.9,19249934,0005.HK
5/31/2017 16:00:00,101.9,101.9,101,101.6,5177744,0001.HK
6/1/2017 16:00:00,101.7,101.9,100.6,101.2,3847642,0001.HK
5/31/2017 16:00:00,84.1,85.25,83.45,85.2,5779480,0002.HK
6/1/2017 16:00:00,85.5,85.5,84.6,85.3,4117733,0002.HK
5/31/2017 16:00:00,25.65,26.05,25.5,25.6,49739126,2628.HK
6/1/2017 16:00:00,25.5,25.6,25.2,25.4,37786430,2628.HK
5/31/2017 16:00:00,274.8,277,267.4,267.6,37199378,0700.HK
6/1/2017 16:00:00,267,272.8,262.8,271.2,31879531,0700.HK
5/31/2017 16:00:00,5.05,5.05,4.98,5,878030,0435.HK
6/1/2017 16:00:00,4.98,5.04,4.98,5.03,909000,0435.HK
5/31/2017 16:00:00,2.51,2.51,2.41,2.42,1545171,0163.HK
6/1/2017 16:00:00,2.46,2.52,2.44,2.5,2226000,0163.HK
5/31/2017 16:00:00,44.8,45.2,44.35,44.4,11204824,0066.HK
6/1/2017 16:00:00,44.6,44.7,44.25,44.6,5374315,0066.HK
5/31/2017 16:00:00,69.6,69.95,69.4,69.8,4657654,0006.HK
6/1/2017 16:00:00,70,70.75,69.8,70.75,3775953,0006.HK
5/31/2017 16:00:00,21.1,21.35,20.75,20.95,11099695,3888.HK
6/1/2017 16:00:00,20.95,21.45,20.55,21.45,9469128,3888.HK
5/31/2017 16:00:00,25706.45,25817.95,25650.06,25660.65,#N/A,INDEXHANGSENG:HSI
6/1/2017 16:00:00,25736.35,25834.75,25614.61,25809.22,#N/A,INDEXHANGSENG:HSI
5/31/2017 16:00:00,25706.45,25817.95,25650.06,25660.65,#N/A,INDEXHANGSENG:HSI
6/1/2017 16:00:00,25736.35,25834.75,25614.61,25809.22,#N/A,INDEXHANGSENG:HSI